,State,premature_deathYears_of_Potential_Life_Lost_Rate,adult_smoking_% Smokers,excessive_drinking_% Excessive Drinking,food_environment_index_Food Environment Index,uninsured_% Uninsured,unemployed_% Unemployed,nr of FFchains,poor_physical_health_days_Average Number of Physically Unhealthy Days,poor_mental_health_days_Average Number of Mentally Unhealthy Days,per_gop,is_obese
232,California,5200.0,13,20,8.7,11.0,3,15.0,4.2,4.3,0.328207381370826,False
233,California,3494.0,10,17,9.3,5.0,2,29.0,3.7,3.4,0.2523297457326207,False
234,California,4675.0,13,22,8.4,7.0,4,3.0,4.0,4.3,0.1860341445896295,False
235,California,9067.0,17,21,7.2,7.0,4,1.0,4.6,4.8,0.6543487621097955,False
237,California,9929.0,18,23,6.7,8.0,6,0.0,4.7,4.9,0.5667377398720682,True
238,California,6159.0,14,20,8.5,6.0,3,6.0,4.0,4.2,0.3367131287318237,False
239,California,4803.0,13,24,8.7,8.0,2,4.0,4.0,4.3,0.2304735845399102,False
240,California,7117.0,16,19,7.9,7.0,6,21.0,4.8,4.8,0.4846748822576742,False
241,California,7102.0,16,20,7.1,9.0,7,1.0,4.9,4.9,0.5716463414634146,False
242,California,9503.0,18,20,6.8,8.0,5,2.0,5.0,5.0,0.6664461543818112,True
243,California,13183.0,19,21,7.0,9.0,5,0.0,5.0,5.1,0.5094279322467242,False
244,California,6953.0,18,17,7.0,9.0,9,5.0,5.2,4.8,0.5283521303258145,True
245,California,7774.0,16,24,7.4,6.0,4,1.0,4.5,4.8,0.5818558600046051,False
246,California,4654.0,12,19,8.9,9.0,3,7.0,4.2,4.2,0.3837420569768487,False
247,California,4617.0,14,20,8.6,7.0,4,4.0,4.1,4.3,0.2805971376871196,False
248,California,9488.0,17,21,6.9,8.0,6,5.0,4.9,4.7,0.593413233961124,False
250,Colorado,6320.0,18,20,8.5,11.0,2,24.0,3.9,4.0,0.4040678395674488,False
251,Colorado,9501.0,19,18,7.7,14.0,3,1.0,4.5,4.4,0.4883452868852459,False
252,Colorado,5344.0,15,19,8.8,9.0,2,20.0,3.3,3.8,0.3635898944266283,False
253,Colorado,6560.0,15,20,7.8,13.0,3,1.0,3.3,3.7,0.5674759405074365,False
255,Colorado,11334.0,22,19,6.5,11.0,2,0.0,4.5,4.2,0.6609498680738787,True
256,Colorado,4184.0,13,21,8.8,7.0,2,5.0,3.0,3.6,0.206204423829878,False
257,Colorado,4549.0,12,21,8.9,5.0,2,0.0,2.9,3.2,0.3494381540572997,False
258,Colorado,5449.0,17,21,8.5,11.0,2,1.0,3.4,3.9,0.4535977254501713,False
260,Colorado,5618.0,14,23,9.0,7.0,2,0.0,3.0,3.5,0.4205864386072083,False
261,Colorado,10528.0,19,17,7.9,11.0,3,0.0,4.5,4.4,0.5275790445418879,False
263,Colorado,6550.0,24,20,6.9,12.0,4,0.0,4.7,4.3,0.7262857142857143,False
265,Colorado,8164.0,22,22,7.7,11.0,3,0.0,4.1,4.5,0.6753226639132679,False
266,Colorado,6341.0,15,25,8.2,10.0,2,23.0,3.4,3.8,0.1818514220711124,False
268,Colorado,3533.0,11,21,9.5,4.0,2,7.0,2.6,3.1,0.5236205683098805,False
269,Colorado,3535.0,13,23,9.2,13.0,2,2.0,3.0,3.5,0.3394646533973919,False
270,Colorado,5038.0,15,22,8.8,7.0,2,0.0,3.1,3.4,0.7389243006900912,False
271,Colorado,7534.0,15,17,7.9,9.0,3,11.0,3.5,3.7,0.5353795311588522,False
272,Colorado,8042.0,21,20,7.0,8.0,4,1.0,4.0,4.1,0.6854090855734241,False
273,Colorado,5735.0,17,20,8.8,14.0,2,4.0,3.5,3.8,0.4762166709811027,False
275,Colorado,5394.0,17,23,9.0,10.0,2,0.0,3.4,3.7,0.4947315096251266,False
276,Colorado,4871.0,15,23,8.6,11.0,2,2.0,3.3,3.6,0.3337801608579088,False
278,Colorado,9136.0,18,19,6.7,8.0,5,0.0,3.9,4.0,0.5,False
280,Colorado,5488.0,15,23,8.8,7.0,2,28.0,3.3,3.7,0.393306603561084,False
282,Colorado,8004.0,19,20,8.4,14.0,1,0.0,4.0,4.1,0.812193231723069,False
283,Colorado,4741.0,18,20,7.8,14.0,2,0.0,4.0,4.0,0.3779348649330977,False
284,Colorado,5474.0,16,24,8.7,10.0,2,0.0,3.3,3.8,0.3990523453051841,False
285,Colorado,4995.0,15,23,8.5,7.0,2,8.0,3.2,3.9,0.4078176679831325,False
286,Colorado,12678.0,19,19,6.7,13.0,3,1.0,4.1,4.0,0.5381233513377717,False
287,Colorado,6015.0,21,21,7.7,10.0,2,1.0,4.1,4.1,0.8053564692568842,False
288,Colorado,6619.0,19,20,7.9,10.0,2,1.0,4.1,4.1,0.7678503608051652,True
289,Colorado,6914.0,19,20,7.5,10.0,3,3.0,3.9,4.3,0.6278166449647988,False
291,Colorado,6925.0,20,21,7.8,10.0,3,1.0,3.9,4.2,0.807002561912895,False
292,Colorado,8741.0,20,21,7.4,13.0,4,0.0,4.3,4.2,0.6003870967741936,False
293,Colorado,7217.0,19,20,7.4,12.0,3,0.0,4.0,4.3,0.6728994462723698,False
294,Colorado,8606.0,20,20,8.6,13.0,2,0.0,3.9,4.1,0.697977299185099,True
295,Colorado,12242.0,21,18,6.3,11.0,4,0.0,4.5,4.3,0.6010860484544696,True
297,Colorado,6366.0,16,22,8.0,9.0,2,0.0,3.1,3.6,0.5688364524003254,False
299,Colorado,2873.0,12,24,9.0,12.0,3,0.0,2.7,3.2,0.2324997909174542,False
300,Colorado,8271.0,19,18,7.1,14.0,2,1.0,4.2,4.3,0.7207336809926272,True
301,Colorado,10009.0,20,18,6.6,9.0,4,2.0,4.2,4.4,0.4785105154078755,False
302,Colorado,5625.0,19,21,8.4,8.0,3,0.0,3.8,4.1,0.8293145489027364,False
303,Colorado,9712.0,18,18,7.7,14.0,4,1.0,4.0,3.9,0.5804916732751785,False
304,Colorado,4592.0,14,24,8.6,9.0,2,0.0,3.1,3.6,0.3510903057596586,False
305,Colorado,11238.0,20,18,7.4,17.0,4,0.0,4.4,4.4,0.4169371496016524,False
309,Colorado,3998.0,14,24,8.6,12.0,1,0.0,3.0,3.3,0.2880025975431571,False
310,Colorado,6840.0,17,22,8.7,8.0,3,2.0,3.3,3.8,0.6636165062872661,False
311,Colorado,8200.0,20,22,7.4,9.0,2,0.0,3.9,4.2,0.8626994680851063,False
312,Colorado,5791.0,17,19,8.7,9.0,2,7.0,3.6,4.0,0.5758289013463658,False
313,Colorado,5919.0,19,20,8.0,15.0,1,0.0,4.0,4.2,0.8245332262597872,False
315,Connecticut,4442.0,12,22,8.6,8.0,3,0.0,3.2,3.6,0.3573838770375695,False
316,Connecticut,6154.0,14,19,8.2,5.0,3,0.0,3.4,3.9,0.3539088788790571,False
317,Connecticut,6668.0,15,21,8.6,5.0,3,0.0,3.2,3.9,0.5170069924867962,False
318,Connecticut,5365.0,13,23,8.5,4.0,3,0.0,3.2,4.0,0.4099170387992298,False
319,Connecticut,6337.0,16,20,8.0,6.0,3,0.0,3.8,4.2,0.4064596392171874,False
320,Connecticut,6593.0,16,22,7.9,5.0,3,0.0,3.6,4.2,0.4090856995501561,False
321,Connecticut,5068.0,14,20,8.3,4.0,3,0.0,3.2,3.9,0.4322871402676731,False
322,Connecticut,7206.0,16,19,8.1,5.0,4,0.0,3.8,4.1,0.510555915692836,False
324,Delaware,8104.0,20,20,8.0,7.0,4,8.0,4.5,4.8,0.4712324044814708,True
325,Delaware,7918.0,18,19,8.3,6.0,3,7.0,3.7,4.3,0.3072109250329413,False
326,Delaware,8067.0,19,20,8.3,9.0,3,16.0,4.3,4.3,0.5506679448327045,True
328,District of Columbia,7956.0,15,23,8.5,4.0,5,21.0,3.3,4.2,0.0539732137671479,False
